City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
108,Nikolskoye,59.7035,30.7861,69.69,62,0,4.32,RU,clear sky,2022-06-29 19:58:09
109,Chuy,-33.6971,-53.4616,55.85,67,13,5.99,UY,few clouds,2022-06-29 19:58:10
110,San Jose El Alto,20.65,-100.3667,79.75,25,100,10.38,MX,overcast clouds,2022-06-29 19:58:10
111,Narsaq,60.9167,-46.05,41.11,94,100,0.22,GL,overcast clouds,2022-06-29 19:58:11
112,Nabire,-3.3667,135.4833,74.41,91,16,2.62,ID,few clouds,2022-06-29 19:58:11
113,Leningradskiy,69.3833,178.4167,41.63,87,85,7.38,RU,overcast clouds,2022-06-29 19:58:11
114,Lata,40.1629,-8.3327,62.08,76,100,9.13,PT,overcast clouds,2022-06-29 19:58:12
115,Saldanha,-33.0117,17.9442,57.25,52,1,9.55,ZA,clear sky,2022-06-29 19:58:12
116,Khatanga,71.9667,102.5,47.98,57,0,11.95,RU,clear sky,2022-06-29 19:58:13
117,Kruisfontein,-34.0033,24.7314,57.22,42,4,1.5,ZA,clear sky,2022-06-29 19:58:13
118,Mataura,-46.1927,168.8643,44.47,76,100,6.6,NZ,light rain,2022-06-29 19:58:13
119,Benatky Nad Jizerou,50.2909,14.8234,68.65,96,100,3.29,CZ,very heavy rain,2022-06-29 19:58:14
120,Zhigansk,66.7697,123.3711,52.66,70,100,8.97,RU,overcast clouds,2022-06-29 19:58:14
121,Oussouye,12.485,-16.5469,84.38,71,18,10.58,SN,few clouds,2022-06-29 19:58:15
122,Alamosa,37.4695,-105.87,79.7,18,0,4.79,US,clear sky,2022-06-29 19:58:15
123,Tuktoyaktuk,69.4541,-133.0374,50.0,81,75,14.97,CA,broken clouds,2022-06-29 19:58:15
124,Dingle,10.9995,122.6711,75.94,92,100,5.57,PH,moderate rain,2022-06-29 19:58:16
125,Hobyo,5.3505,48.5268,77.36,80,14,29.12,SO,few clouds,2022-06-29 19:58:16
126,Komsomolskiy,40.4272,71.7189,84.92,32,0,2.3,UZ,clear sky,2022-06-29 19:58:16
127,Atuona,-9.8,-139.0333,77.36,81,23,21.07,PF,few clouds,2022-06-29 19:55:19
128,New Norfolk,-42.7826,147.0587,45.9,83,60,3.0,AU,broken clouds,2022-06-29 19:58:17
129,Hay River,60.8156,-115.7999,58.98,58,40,10.36,CA,scattered clouds,2022-06-29 19:57:13
130,Ahuimanu,21.4447,-157.8378,80.37,68,99,8.99,US,overcast clouds,2022-06-29 19:58:17
131,Kiruna,67.8557,20.2251,65.32,82,40,11.5,SE,scattered clouds,2022-06-29 19:58:18
132,Namibe,-15.1961,12.1522,68.41,81,32,8.72,AO,scattered clouds,2022-06-29 19:58:18
133,Batagay-Alyta,67.8006,130.4114,51.06,64,100,1.61,RU,overcast clouds,2022-06-29 19:58:18
134,Salalah,17.0151,54.0924,80.24,90,55,8.19,OM,broken clouds,2022-06-29 19:58:19
135,Takoradi,4.8845,-1.7554,76.64,89,83,8.14,GH,moderate rain,2022-06-29 19:58:19
136,Cidreira,-30.1811,-50.2056,57.45,68,0,15.1,BR,clear sky,2022-06-29 19:58:20
137,Peniche,39.3558,-9.3811,64.29,74,100,23.47,PT,overcast clouds,2022-06-29 19:58:20
138,Montepuez,-13.1256,38.9997,60.91,95,0,5.14,MZ,clear sky,2022-06-29 19:58:20
139,Fortuna,40.5982,-124.1573,65.86,85,100,1.99,US,overcast clouds,2022-06-29 19:58:21
140,Carutapera,-1.195,-46.02,80.98,79,7,8.32,BR,clear sky,2022-06-29 19:58:21
141,Berlevag,70.8578,29.0864,82.2,68,0,8.05,NO,clear sky,2022-06-29 19:58:22
142,Poplar Bluff,36.757,-90.3929,88.34,33,0,1.01,US,clear sky,2022-06-29 19:58:22
143,Harper,4.375,-7.7169,77.14,86,44,11.99,LR,light rain,2022-06-29 19:58:22
144,Manuk Mangkaw,4.8,119.85,83.98,77,100,14.29,PH,overcast clouds,2022-06-29 19:58:23
145,Makakilo City,21.3469,-158.0858,79.2,66,100,17.49,US,overcast clouds,2022-06-29 19:58:23
146,Dharchula,29.85,80.5333,73.62,97,100,0.81,IN,overcast clouds,2022-06-29 19:58:23
147,Sorland,67.667,12.6934,51.66,92,1,4.97,NO,clear sky,2022-06-29 19:58:24
148,Luganville,-15.5333,167.1667,77.9,87,97,12.46,VU,overcast clouds,2022-06-29 19:58:24
149,San Quintin,30.4833,-115.95,76.98,56,8,12.93,MX,clear sky,2022-06-29 19:58:25
150,Cherskiy,68.75,161.3,44.98,77,94,10.87,RU,overcast clouds,2022-06-29 19:58:25
151,Elk Point,42.6833,-96.6836,98.19,30,23,22.66,US,few clouds,2022-06-29 19:58:25
152,Bilibino,68.0546,166.4372,43.99,94,100,6.22,RU,heavy intensity rain,2022-06-29 19:58:26
153,Finschhafen,-6.6024,147.8681,78.57,78,87,10.33,PG,overcast clouds,2022-06-29 19:58:26
154,Sobolevo,54.4299,31.8996,62.71,91,14,6.58,RU,few clouds,2022-06-29 19:58:27
155,Bambous Virieux,-20.3428,57.7575,70.05,56,40,8.05,MU,light rain,2022-06-29 19:58:27
156,Mankono,8.0586,-6.1897,75.52,82,44,4.18,CI,light rain,2022-06-29 19:58:27
157,Petropavlovsk-Kamchatskiy,53.0452,158.6483,48.79,87,0,4.47,RU,clear sky,2022-06-29 19:58:28
158,Inisa,7.85,4.3333,72.84,95,100,7.16,NG,moderate rain,2022-06-29 19:58:28
159,Vallenar,-28.5708,-70.7581,83.19,6,0,3.96,CL,clear sky,2022-06-29 19:58:29
160,Victoria,22.2855,114.1577,83.03,91,72,5.01,HK,light rain,2022-06-29 19:58:29
161,Kaohsiung,22.6163,120.3133,84.15,83,40,4.61,TW,scattered clouds,2022-06-29 19:54:14
162,Katsuura,35.1333,140.3,74.17,93,100,11.14,JP,overcast clouds,2022-06-29 19:58:29
163,Spirit River,55.7833,-118.8361,70.23,48,9,5.93,CA,clear sky,2022-06-29 19:58:30
164,Norman Wells,65.282,-126.8329,71.64,53,20,5.75,CA,few clouds,2022-06-29 19:58:30
165,Guerrero Negro,27.9769,-114.0611,82.29,49,0,16.71,MX,clear sky,2022-06-29 19:58:31
166,Veinticinco De Mayo,-35.4323,-60.1727,64.98,39,100,3.0,AR,overcast clouds,2022-06-29 19:58:31
167,Las Tunas,20.9617,-76.9511,86.99,65,19,14.09,CU,few clouds,2022-06-29 19:58:31
168,Boundiali,9.5217,-6.4869,80.31,66,78,7.34,CI,broken clouds,2022-06-29 19:58:32
169,Matara,5.9485,80.5353,78.91,87,88,12.8,LK,overcast clouds,2022-06-29 19:58:32
170,Hamilton,39.1834,-84.5333,87.51,34,0,1.99,US,clear sky,2022-06-29 19:58:32
171,Praya,14.9215,-23.5087,75.74,73,20,18.41,CV,few clouds,2022-06-29 19:58:33
172,Deputatskiy,69.3,139.9,45.93,57,100,4.61,RU,overcast clouds,2022-06-29 19:58:33
173,Puerto Baquerizo Moreno,-0.9,-89.6,70.32,81,66,11.97,EC,broken clouds,2022-06-29 19:58:34
174,Zapolyarnyy,69.4154,30.8136,81.68,55,12,7.54,RU,few clouds,2022-06-29 19:58:34
175,Shinuhayr,39.4367,46.3179,58.12,72,0,2.44,AM,clear sky,2022-06-29 19:58:34
176,Roald,62.5833,6.1333,69.17,88,0,9.22,NO,clear sky,2022-06-29 19:58:35
