City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Cape Town,ZA,2022-06-29 15:52:31,-33.9258,18.4232,73.81,50,0,8.05
88,Nikolskoye,RU,2022-06-29 15:55:56,59.7035,30.7861,78.69,31,0,5.55
89,Comodoro Rivadavia,AR,2022-06-29 15:55:56,-45.8667,-67.5,39.06,87,75,12.66
90,Provideniya,RU,2022-06-29 15:55:57,64.3833,-173.3,44.55,95,86,5.1
91,Ponta Delgada,PT,2022-06-29 15:55:57,37.7333,-25.6667,72.32,64,40,11.5
92,Sioux Lookout,CA,2022-06-29 15:55:58,50.1001,-91.917,64.47,52,75,6.91
93,Souillac,MU,2022-06-29 15:55:58,-20.5167,57.5167,70.18,52,75,8.05
94,Mount Gambier,AU,2022-06-29 15:55:58,-37.8333,140.7667,44.51,93,100,2.3
95,Salalah,OM,2022-06-29 15:55:59,17.0151,54.0924,80.47,89,73,8.1
96,Yaan,NG,2022-06-29 15:55:59,7.3833,8.5667,81.52,72,100,2.08
97,Dikson,RU,2022-06-29 15:56:00,73.5069,80.5464,32.56,95,100,13.56
98,Ponta Do Sol,PT,2022-06-29 15:56:00,32.6667,-17.1,76.71,65,1,4.36
99,Gubkinskiy,RU,2022-06-29 15:56:00,64.434,76.5026,57.52,54,81,11.05
100,Lazaro Cardenas,MX,2022-06-29 15:56:01,17.9583,-102.2,76.86,89,100,2.35
101,Carnarvon,AU,2022-06-29 15:56:01,-24.8667,113.6333,65.17,45,0,19.57
102,Siloam Springs,US,2022-06-29 15:52:08,36.1881,-94.5405,84.29,49,0,0.0
103,Campina Verde,BR,2022-06-29 15:56:02,-19.5356,-49.4864,83.84,29,0,6.33
104,Upernavik,GL,2022-06-29 15:56:02,72.7868,-56.1549,34.57,92,100,10.22
105,Shubarkuduk,KZ,2022-06-29 15:56:03,49.1447,56.4872,64.87,42,31,8.84
106,Bima,ID,2022-06-29 15:56:03,-8.4667,118.7167,74.34,94,35,5.08
107,Thinadhoo,MV,2022-06-29 15:56:04,0.5333,72.9333,83.97,74,58,7.11
108,Chuy,UY,2022-06-29 15:56:04,-33.6971,-53.4616,58.73,53,0,9.08
109,Bacolod,PH,2022-06-29 15:56:05,10.6667,122.95,78.17,87,91,6.11
110,Nisia Floresta,BR,2022-06-29 15:56:05,-6.0911,-35.2086,75.58,80,81,12.12
111,Mantua,IT,2022-06-29 15:56:06,45.1667,10.7833,91.35,50,2,1.01
112,Isangel,VU,2022-06-29 15:56:06,-19.55,169.2667,73.51,88,100,6.91
113,Harper,LR,2022-06-29 15:56:07,4.375,-7.7169,80.47,78,91,12.5
114,Poronaysk,RU,2022-06-29 15:56:07,49.2167,143.1167,48.43,91,75,5.46
115,Vila,PT,2022-06-29 15:56:08,42.0304,-8.1588,58.69,60,63,10.85
116,Victoria,HK,2022-06-29 15:56:08,22.2855,114.1577,86.38,81,98,13.0
117,Castro,BR,2022-06-29 15:56:08,-24.7911,-50.0119,62.35,67,93,11.74
118,Usinsk,RU,2022-06-29 15:56:09,65.9939,57.5281,43.3,63,97,16.78
119,Vilyuysk,RU,2022-06-29 15:56:09,63.7553,121.6247,55.62,76,100,5.21
120,Husavik,IS,2022-06-29 15:56:09,66.0449,-17.3389,50.07,89,100,0.72
121,Port Macquarie,AU,2022-06-29 15:56:10,-31.4333,152.9167,50.9,82,99,5.75
122,Carmo Do Rio Verde,BR,2022-06-29 15:56:10,-15.3536,-49.7075,88.18,21,0,0.76
123,Terrace,CA,2022-06-29 15:56:10,54.5163,-128.6035,57.11,94,100,9.22
124,Hokitika,NZ,2022-06-29 15:56:11,-42.7167,170.9667,47.88,82,100,1.57
125,Taywarah,AF,2022-06-29 15:56:11,33.35,64.4167,69.58,14,0,8.39
126,Tessalit,ML,2022-06-29 15:56:12,20.1986,1.0114,109.02,7,23,8.55
