City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Zhuhai,CN,84.85,few clouds,22.2769,113.5678,Zhuhai
516,Kirakira,SB,81.14,scattered clouds,-10.4544,161.9205,Arohane
521,Lazaro Cardenas,MX,85.24,overcast clouds,17.9583,-102.2,Lázaro Cárdenas
527,Rajbiraj,NP,76.73,overcast clouds,26.5333,86.75,Rajbiraj
534,Teshie,GH,77.88,overcast clouds,5.5836,-0.1072,Accra
538,Tual,ID,80.76,scattered clouds,-5.6667,132.75,Tual
543,Bud,US,87.75,clear sky,39.447,-86.1758,Trafalgar
548,Gorgan,IR,76.17,clear sky,36.8387,54.4348,Gorgan
549,Kandrian,PG,77.09,overcast clouds,-6.2167,149.55,Kandrian
550,Durres,AL,78.98,clear sky,41.3231,19.4414,Durrës
552,Virginia Beach,US,88.02,overcast clouds,36.8529,-75.978,Virginia Beach
555,Umm Kaddadah,SD,86.54,overcast clouds,13.6017,26.6876,Umm Kadadda
556,Marzuq,YE,82.71,overcast clouds,14.4,46.4667,Al Hujayrah
558,Coahuayana,MX,89.15,overcast clouds,18.7333,-103.6833,Coahuayana de Hidalgo
559,Puerto Guzman,CO,82.08,scattered clouds,0.9703,-76.5858,Vereda Canangucho
564,Sibolga,ID,75.24,overcast clouds,1.7427,98.7792,Sibolga
568,Amapa,BR,75.45,overcast clouds,1.0,-52.0,Teresinha
581,Lakatoro,VU,78.6,broken clouds,-16.0999,167.4164,Lakatoro
584,Craig,US,80.22,overcast clouds,40.5153,-107.5464,Craig
585,Lang Suan,TH,78.03,overcast clouds,9.9456,99.0785,Wang Tako
589,Broome,US,79.66,overcast clouds,42.2506,-75.833,Chenango Forks
592,Hambantota,LK,80.1,overcast clouds,6.1241,81.1185,Hambantota
593,Kieta,PG,78.31,light rain,-6.2167,155.6333,Kieta
598,Mallapuram,IN,76.3,overcast clouds,11.9667,78.25,Bommidi
601,Pundaguitan,PH,82.31,overcast clouds,6.3711,126.1689,Mati
603,Halifax,CA,76.51,overcast clouds,44.6453,-63.5724,Halifax
605,Duluth,US,78.06,clear sky,46.7833,-92.1066,Duluth
607,Ixtapa,MX,84.22,overcast clouds,20.7,-105.2,Puerto Vallarta
615,Inirida,CO,81.99,broken clouds,3.8653,-67.9239,Inírida
622,Najran,SA,83.7,overcast clouds,17.4924,44.1277,Najran
624,Ovre Ardal,NO,81.48,clear sky,61.3167,7.8,Øvre Årdal
625,Labuhan,ID,75.06,scattered clouds,-6.8844,112.2051,Musholla Babut Taubat
628,Baft,IR,77.36,few clouds,29.234,56.6057,Baft
632,Pindobacu,BR,78.08,clear sky,-10.7417,-40.3608,Pindobaçu
639,Altamira,BR,84.36,broken clouds,-3.2033,-52.2064,Altamira
646,Sabang,ID,82.81,overcast clouds,5.8933,95.3214,Sabang
647,Sillod,IN,78.19,overcast clouds,20.3,75.65,Sillod
650,Ponot,PH,78.96,moderate rain,8.452,123.0222,Manukan
655,Nhulunbuy,AU,75.81,light rain,-12.2333,136.7667,Nhulunbuy
656,Kaseda,JP,77.23,clear sky,31.4167,130.3167,Minamisatsuma
659,Eirunepe,BR,85.3,overcast clouds,-6.6603,-69.8736,Eirunepé
663,Catuday,PH,77.36,overcast clouds,16.2923,119.8062,Bolinao
665,Trojanovice,CZ,75.61,few clouds,49.5204,18.238,Rožnov pod Radhoštěm
666,Traverse City,US,78.73,broken clouds,44.7631,-85.6206,Traverse City
672,Fare,PF,79.68,light rain,-16.7,-151.0167,Fare
674,Fredericton,CA,80.42,clear sky,45.9454,-66.6656,Fredericton
677,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,Caucaia
679,Bani,DO,87.85,overcast clouds,18.2833,-70.3333,Baní
680,Davila,PH,80.02,overcast clouds,18.4726,120.5763,Pasuquin
